movie_title:我的女友是机器人 | movie_types:[' 爱情 ', ' 喜剧 '] | movie_date:2020-09-11中国大陆上映 
movie_title:麦路人 | movie_types:[' 剧情 '] | movie_date:2020-09-17中国大陆上映 
movie_title:我和我的祖国 | movie_types:[' 剧情 '] | movie_date:2019-09-30中国大陆上映 
movie_title:荞麦疯长 | movie_types:[' 剧情 ', ' 爱情 '] | movie_date:2020-08-25中国大陆上映 
movie_title:蓝色防线 | movie_types:[' 纪录片 ', ' 战争 ', ' 历史 '] | movie_date:2020-09-18中国大陆上映 
movie_title:信条 | movie_types:[' 科幻 ', ' 动作 ', ' 剧情 '] | movie_date:2020-09-04中国大陆上映 
movie_title:花木兰 | movie_types:[' 剧情 ', ' 冒险 '] | movie_date:2020-09-11中国大陆上映 
movie_title:八佰 | movie_types:[' 剧情 ', ' 战争 ', ' 历史 '] | movie_date:2020-08-21 09:00中国大陆上映 
movie_title:夺冠 | movie_types:[' 剧情 '] | movie_date:2020-09-25 18:00中国大陆上映 
movie_title:我在时间尽头等你 | movie_types:[' 爱情 ', ' 奇幻 ', ' 喜剧 '] | movie_date:2020-08-25 10:00中国大陆上映 
